192.168.103.225 - - [08/Feb/2018:06:18:59 +0000] "POST /token HTTP/1.1" 200 61 "-" "TaskManager/1.0 (com.tigerit.task.TaskManager; build:1; iOS 11.1.0) Alamofire/4.2.0"
192.168.103.225 - - [08/Feb/2018:06:19:33 +0000] "POST /token HTTP/1.1" 200 233 "-" "TaskManager/1.0 (com.tigerit.task.TaskManager; build:1; iOS 11.1.0) Alamofire/4.2.0"
192.168.103.225 - - [08/Feb/2018:06:51:31 +0000] "POST /token HTTP/1.1" 200 233 "-" "TaskManager/1.0 (com.tigerit.task.TaskManager; build:1; iOS 11.1.0) Alamofire/4.2.0"
192.168.103.17 - - [08/Feb/2018:06:52:24 +0000] "POST /token HTTP/1.1" 200 229 "-" "Dalvik/2.1.0 (Linux; U; Android 7.0; SM-J701F Build/NRD90M)"
192.168.103.18 - - [08/Feb/2018:08:03:46 +0000] "POST /token HTTP/1.1" 200 61 "-" "Dalvik/2.1.0 (Linux; U; Android 7.1.1; Android SDK built for x86 Build/NYC)"
192.168.103.18 - - [08/Feb/2018:08:05:33 +0000] "POST /token HTTP/1.1" 200 233 "-" "Dalvik/2.1.0 (Linux; U; Android 7.1.1; Android SDK built for x86 Build/NYC)"
192.168.103.18 - - [08/Feb/2018:08:16:26 +0000] "POST /token HTTP/1.1" 200 233 "-" "Dalvik/2.1.0 (Linux; U; Android 7.1.1; Android SDK built for x86 Build/NYC)"
192.168.103.18 - - [08/Feb/2018:09:18:50 +0000] "POST /token HTTP/1.1" 200 233 "-" "Dalvik/2.1.0 (Linux; U; Android 7.1.1; Android SDK built for x86 Build/NYC)"
192.168.103.18 - - [08/Feb/2018:09:21:54 +0000] "POST /token HTTP/1.1" 200 233 "-" "Dalvik/2.1.0 (Linux; U; Android 7.1.1; Android SDK built for x86 Build/NYC)"
192.168.103.18 - - [08/Feb/2018:09:22:35 +0000] "POST /token HTTP/1.1" 200 233 "-" "Dalvik/2.1.0 (Linux; U; Android 7.1.1; Android SDK built for x86 Build/NYC)"
192.168.103.18 - - [08/Feb/2018:09:23:51 +0000] "POST /token HTTP/1.1" 200 233 "-" "Dalvik/2.1.0 (Linux; U; Android 7.1.1; Android SDK built for x86 Build/NYC)"
192.168.103.18 - - [08/Feb/2018:09:23:59 +0000] "POST /token HTTP/1.1" 200 233 "-" "Dalvik/2.1.0 (Linux; U; Android 7.1.1; Android SDK built for x86 Build/NYC)"
192.168.103.18 - - [08/Feb/2018:09:24:13 +0000] "POST /token HTTP/1.1" 200 233 "-" "Dalvik/2.1.0 (Linux; U; Android 7.1.1; Android SDK built for x86 Build/NYC)"
192.168.103.18 - - [08/Feb/2018:09:49:26 +0000] "POST /token HTTP/1.1" 200 233 "-" "Dalvik/2.1.0 (Linux; U; Android 7.1.1; Android SDK built for x86 Build/NYC)"
192.168.103.18 - - [08/Feb/2018:09:50:25 +0000] "POST /token HTTP/1.1" 200 233 "-" "Dalvik/2.1.0 (Linux; U; Android 7.1.1; Android SDK built for x86 Build/NYC)"
192.168.103.18 - - [08/Feb/2018:10:49:07 +0000] "POST /token HTTP/1.1" 200 233 "-" "Dalvik/2.1.0 (Linux; U; Android 7.1.1; Android SDK built for x86 Build/NYC)"
192.168.103.18 - - [08/Feb/2018:10:49:07 +0000] "POST /token HTTP/1.1" 200 233 "-" "Dalvik/2.1.0 (Linux; U; Android 7.1.1; Android SDK built for x86 Build/NYC)"
192.168.103.18 - - [08/Feb/2018:10:49:08 +0000] "POST /token HTTP/1.1" 200 233 "-" "Dalvik/2.1.0 (Linux; U; Android 7.1.1; Android SDK built for x86 Build/NYC)"
192.168.103.18 - - [08/Feb/2018:10:51:46 +0000] "POST /token HTTP/1.1" 200 233 "-" "Dalvik/2.1.0 (Linux; U; Android 7.1.1; Android SDK built for x86 Build/NYC)"
192.168.103.18 - - [08/Feb/2018:10:55:17 +0000] "POST /token HTTP/1.1" 200 233 "-" "Dalvik/2.1.0 (Linux; U; Android 7.1.1; Android SDK built for x86 Build/NYC)"
192.168.103.18 - - [08/Feb/2018:10:56:22 +0000] "POST /token HTTP/1.1" 200 233 "-" "Dalvik/2.1.0 (Linux; U; Android 7.1.1; Android SDK built for x86 Build/NYC)"
192.168.103.18 - - [08/Feb/2018:11:00:13 +0000] "POST /token HTTP/1.1" 200 233 "-" "Dalvik/2.1.0 (Linux; U; Android 7.1.1; Android SDK built for x86 Build/NYC)"
192.168.103.18 - - [08/Feb/2018:11:00:45 +0000] "POST /token HTTP/1.1" 200 233 "-" "Dalvik/2.1.0 (Linux; U; Android 7.1.1; Android SDK built for x86 Build/NYC)"
192.168.103.18 - - [08/Feb/2018:11:07:49 +0000] "POST /token HTTP/1.1" 200 233 "-" "Dalvik/2.1.0 (Linux; U; Android 7.1.1; Android SDK built for x86 Build/NYC)"
192.168.103.18 - - [08/Feb/2018:11:10:58 +0000] "POST /token HTTP/1.1" 200 233 "-" "Dalvik/2.1.0 (Linux; U; Android 7.1.1; Android SDK built for x86 Build/NYC)"
192.168.103.18 - - [08/Feb/2018:11:11:42 +0000] "POST /token HTTP/1.1" 200 233 "-" "Dalvik/2.1.0 (Linux; U; Android 7.1.1; Android SDK built for x86 Build/NYC)"
192.168.103.18 - - [08/Feb/2018:11:12:40 +0000] "POST /token HTTP/1.1" 200 233 "-" "Dalvik/2.1.0 (Linux; U; Android 7.1.1; Android SDK built for x86 Build/NYC)"
