192.168.103.18 - - [12/Feb/2018:08:33:42 +0000] "GET /favicon.ico HTTP/1.1" 404 24 "-" "Mozilla/5.0 (Windows NT 6.1; Win64; x64; rv:57.0) Gecko/20100101 Firefox/57.0"
192.168.103.18 - - [12/Feb/2018:09:42:25 +0000] "POST /token HTTP/1.1" 200 233 "-" "Dalvik/2.1.0 (Linux; U; Android 7.1.1; Android SDK built for x86 Build/NYC)"
192.168.103.18 - - [12/Feb/2018:09:49:26 +0000] "POST /token HTTP/1.1" 200 233 "-" "Dalvik/2.1.0 (Linux; U; Android 7.1.1; Android SDK built for x86 Build/NYC)"
192.168.103.18 - - [12/Feb/2018:09:55:28 +0000] "POST /token HTTP/1.1" 200 233 "-" "Dalvik/2.1.0 (Linux; U; Android 7.1.1; Android SDK built for x86 Build/NYC)"
192.168.103.18 - - [12/Feb/2018:09:55:28 +0000] "GET //count HTTP/1.1" 404 19 "-" "Dalvik/2.1.0 (Linux; U; Android 7.1.1; Android SDK built for x86 Build/NYC)"
192.168.103.18 - - [12/Feb/2018:09:55:50 +0000] "GET //count HTTP/1.1" 404 19 "-" "Dalvik/2.1.0 (Linux; U; Android 7.1.1; Android SDK built for x86 Build/NYC)"
192.168.103.18 - - [12/Feb/2018:10:06:07 +0000] "POST /token HTTP/1.1" 200 233 "-" "Dalvik/2.1.0 (Linux; U; Android 7.1.1; Android SDK built for x86 Build/NYC)"
192.168.103.18 - - [12/Feb/2018:10:21:06 +0000] "POST /token HTTP/1.1" 200 233 "-" "Dalvik/2.1.0 (Linux; U; Android 7.1.1; Android SDK built for x86 Build/NYC)"
192.168.103.18 - - [12/Feb/2018:10:27:27 +0000] "POST /token HTTP/1.1" 200 233 "-" "Dalvik/2.1.0 (Linux; U; Android 7.1.1; Android SDK built for x86 Build/NYC)"
192.168.103.18 - - [12/Feb/2018:10:54:00 +0000] "POST /token HTTP/1.1" 200 233 "-" "Dalvik/2.1.0 (Linux; U; Android 7.1.1; Android SDK built for x86 Build/NYC)"
192.168.103.18 - - [12/Feb/2018:11:00:00 +0000] "POST /token HTTP/1.1" 200 233 "-" "Dalvik/2.1.0 (Linux; U; Android 7.1.1; Android SDK built for x86 Build/NYC)"
192.168.103.18 - - [12/Feb/2018:11:02:34 +0000] "POST /token HTTP/1.1" 200 233 "-" "Dalvik/2.1.0 (Linux; U; Android 7.1.1; Android SDK built for x86 Build/NYC)"
192.168.103.18 - - [12/Feb/2018:11:10:59 +0000] "POST /token HTTP/1.1" 200 233 "-" "Dalvik/2.1.0 (Linux; U; Android 7.1.1; Android SDK built for x86 Build/NYC)"
192.168.103.18 - - [12/Feb/2018:11:13:05 +0000] "POST /token HTTP/1.1" 200 233 "-" "Dalvik/2.1.0 (Linux; U; Android 7.1.1; Android SDK built for x86 Build/NYC)"
192.168.103.18 - - [12/Feb/2018:11:46:16 +0000] "POST /token HTTP/1.1" 200 233 "-" "Dalvik/2.1.0 (Linux; U; Android 7.1.1; Android SDK built for x86 Build/NYC)"
192.168.103.18 - - [12/Feb/2018:11:50:57 +0000] "POST /token HTTP/1.1" 200 233 "-" "Dalvik/2.1.0 (Linux; U; Android 7.1.1; Android SDK built for x86 Build/NYC)"
192.168.103.206 - - [12/Feb/2018:11:59:36 +0000] "POST /token HTTP/1.1" 200 61 "-" "Dalvik/2.1.0 (Linux; U; Android 7.0; SM-J701F Build/NRD90M)"
192.168.103.206 - - [12/Feb/2018:11:59:45 +0000] "POST /token HTTP/1.1" 200 229 "-" "Dalvik/2.1.0 (Linux; U; Android 7.0; SM-J701F Build/NRD90M)"
192.168.103.206 - - [12/Feb/2018:12:01:02 +0000] "POST /token HTTP/1.1" 200 229 "-" "Dalvik/2.1.0 (Linux; U; Android 7.0; SM-J701F Build/NRD90M)"
